File,Frequency,BlockFrequency,CumulativeSums,CumulativeSums,Runs,LongestRun,Rank,FFT,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,OverlappingTemplate,Universal,ApproximateEntropy,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,Serial,Serial,LinearComplexity
Result5Dec,0.953749,0.211072,0.669886,0.724265,0.797953,0.132772,0.306156,0.044465,0.091265,0.237896,0.292004,0.426938,0.027863,0.626043,0.709515,0.199073,0.943740,0.627465,0.598394,0.811139,0.975703,0.410203,0.561211,0.479783,0.974710,0.930574,0.142096,0.752036,0.846073,0.432602,0.863380,0.810293,0.844101,0.543328,0.275808,0.533603,0.072067,0.344960,0.534288,0.876708,0.614679,0.934418,0.904545,0.754650,0.608889,0.943740,0.040973,0.178233,0.342273,0.836322,0.742555,0.518178,0.975438,0.265389,0.949683,0.028874,0.867298,0.931800,0.071380,0.697549,0.960577,0.460245,0.721299,0.063939,0.126846,0.992579,0.791282,0.439974,0.265091,0.890644,0.481420,0.151542,0.894032,0.642050,0.273137,0.357413,0.900581,0.094922,0.396213,0.085985,0.349924,0.511878,0.091265,0.183114,0.815245,0.337648,0.691781,0.922982,0.503490,0.480983,0.914233,0.258828,0.186298,0.409702,0.786255,0.018480,0.154454,0.454920,0.352925,0.203507,0.382038,0.760875,0.329136,0.165860,0.530982,0.373554,0.745533,0.406305,0.942693,0.511990,0.060405,0.374217,0.603107,0.311387,0.995332,0.065775,0.881346,0.256282,0.362494,0.467646,0.909373,0.996444,0.366967,0.306892,0.871353,0.012271,0.763805,0.714191,0.997956,0.619530,0.128317,0.734159,0.175003,0.531893,0.511429,0.576925,0.120250,0.999446,0.239474,0.436123,0.765042,0.974164,0.061677,0.029013,0.481529,0.056317,0.565158,0.961871,0.893864,0.405807,0.423663,0.938854,0.238856,0.244606,0.366593,0.511878,0.481770,0.369168,0.469850,0.008307,0.986782,0.988953,0.640257,0.337202,0.990935,0.769945,0.460134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result5Enc,0.802587,0.664001,0.982343,0.867819,0.785670,0.761565,0.720536,0.633231,0.924989,0.326014,0.233481,0.625095,0.650237,0.962704,0.179266,0.612906,0.110808,0.380504,0.489644,0.911858,0.555076,0.425913,0.016237,0.468831,0.192859,0.738766,0.580082,0.266283,0.501708,0.437994,0.767287,0.804445,0.045155,0.599100,0.027455,0.240646,0.134948,0.092244,0.662335,0.359994,0.914081,0.548041,0.551843,0.685530,0.125591,0.086914,0.905982,0.657829,0.197475,0.979508,0.209625,0.440078,0.882669,0.495826,0.046491,0.735542,0.671814,0.926476,0.184115,0.474563,0.698489,0.966708,0.385697,0.475431,0.631139,0.824607,0.206854,0.477278,0.068974,0.421215,0.473479,0.383961,0.355027,0.704126,0.635289,0.849501,0.371288,0.723972,0.585938,0.168637,0.117407,0.740834,0.924989,0.267778,0.078710,0.112408,0.886514,0.671696,0.052873,0.984198,0.360363,0.708345,0.094293,0.442586,0.916952,0.433118,0.565855,0.308052,0.358057,0.485359,0.354569,0.377924,0.215193,0.227870,0.475214,0.256427,0.555423,0.891155,0.402924,0.471639,0.784718,0.282610,0.818279,0.598040,0.895458,0.959105,0.258026,0.800910,0.955747,0.864223,0.212363,0.090234,0.676903,0.435086,0.663521,0.729189,0.635289,0.996861,0.188957,0.251890,0.702835,0.464636,0.691899,0.184282,0.997458,0.644186,0.742785,0.283704,0.772542,0.636949,0.036106,0.741753,0.607826,0.859319,0.699077,0.728379,0.890131,0.856650,0.947053,0.362587,0.345050,0.628531,0.612552,0.696020,0.223667,0.740834,0.940579,0.263353,0.444604,0.467535,0.014109,0.436494,0.946397,0.677644,0.570097,0.041280,0.693542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result6Dec,0.574116,0.387374,0.971054,0.788512,0.512908,0.053873,0.252674,0.620220,0.553228,0.748047,0.662691,0.294730,0.219976,0.407402,0.444576,0.463777,0.971666,0.815665,0.492178,0.968413,0.922331,0.363237,0.837327,0.579263,0.618701,0.773767,0.749188,0.380217,0.228599,0.585117,0.501931,0.887898,0.480656,0.498153,0.602517,0.137456,0.618820,0.874360,0.886167,0.648101,0.937502,0.527231,0.744045,0.702953,0.230129,0.152920,0.864130,0.408601,0.062842,0.692959,0.675957,0.527004,0.917848,0.224647,0.290171,0.118898,0.642287,0.746677,0.908276,0.959820,0.856459,0.209748,0.544936,0.876797,0.567366,0.414628,0.739686,0.576458,0.659845,0.868964,0.045026,0.352834,0.343883,0.797140,0.450155,0.189413,0.441226,0.469802,0.819946,0.509523,0.855212,0.580667,0.553228,0.578912,0.871994,0.791718,0.223211,0.949567,0.642881,0.365752,0.984657,0.676075,0.001409,0.255992,0.024527,0.035561,0.012786,0.885645,0.901803,0.007351,0.477170,0.487115,0.295132,0.088530,0.670275,0.295777,0.720717,0.678677,0.849111,0.573773,0.672051,0.801554,0.808067,0.388503,0.985522,0.299341,0.992290,0.288584,0.263977,0.478040,0.604168,0.711971,0.484921,0.595686,0.265389,0.514799,0.252033,0.271165,0.815455,0.903340,0.382806,0.707759,0.682341,0.488873,0.487335,0.210182,0.684821,0.714541,0.556232,0.201340,0.911704,0.321029,0.654982,0.085467,0.275579,0.269807,0.238993,0.538401,0.921313,0.921532,0.277420,0.642762,0.254475,0.191532,0.820778,0.580667,0.957638,0.952592,0.314346,0.587778,0.651791,0.345722,0.430753,0.291933,0.029042,0.085611,0.160359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result6Enc,0.224748,0.586359,0.402949,0.349469,0.914413,0.557789,0.327600,0.613759,0.265091,0.449944,0.382710,0.874269,0.093636,0.263977,0.207528,0.394644,0.233009,0.114325,0.827588,0.124227,0.135077,0.022710,0.185848,0.819113,0.594510,0.507509,0.310634,0.597923,0.146455,0.586758,0.944350,0.794000,0.376401,0.582305,0.505832,0.043558,0.377543,0.403519,0.583476,0.092152,0.373365,0.891495,0.099232,0.288742,0.563880,0.161165,0.396312,0.448256,0.613970,0.223994,0.520887,0.350468,0.731272,0.476843,0.054838,0.602753,0.360548,0.872359,0.603107,0.269882,0.604050,0.962264,0.205083,0.381462,0.209315,0.849208,0.202181,0.638254,0.906221,0.206792,0.026247,0.200742,0.753628,0.334823,0.514461,0.608181,0.410304,0.337648,0.950085,0.077781,0.493835,0.487005,0.265091,0.335792,0.203446,0.203749,0.971624,0.483278,0.429713,0.841226,0.327139,0.681632,0.458111,0.620003,0.331752,0.364447,0.613970,0.049886,0.948873,0.593217,0.963909,0.352105,0.071723,0.900744,0.308717,0.157217,0.542296,0.210493,0.095048,0.237350,0.338978,0.781084,0.576925,0.042955,0.562255,0.914765,0.995967,0.813564,0.756578,0.898365,0.110844,0.224320,0.962558,0.384442,0.666010,0.487884,0.948465,0.493724,0.281598,0.612552,0.186354,0.930369,0.722462,0.312057,0.991957,0.635289,0.781415,0.120561,0.572840,0.846761,0.271619,0.224255,0.488873,0.871170,0.850183,0.412915,0.329745,0.753855,0.479783,0.150315,0.338002,0.199608,0.966434,0.677021,0.915900,0.487005,0.177178,0.739764,0.842256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result7Dec,0.953749,0.211072,0.669886,0.724265,0.797953,0.132772,0.306156,0.044465,0.091265,0.237896,0.292004,0.426938,0.027863,0.626043,0.709515,0.199073,0.943740,0.627465,0.598394,0.811139,0.975703,0.410203,0.561211,0.479783,0.974710,0.930574,0.142096,0.752036,0.846073,0.432602,0.863380,0.810293,0.844101,0.543328,0.275808,0.533603,0.072067,0.344960,0.534288,0.876708,0.614679,0.934418,0.904545,0.754650,0.608889,0.943740,0.040973,0.178233,0.342273,0.836322,0.742555,0.518178,0.975438,0.265389,0.949683,0.028874,0.867298,0.931800,0.071380,0.697549,0.960577,0.460245,0.721299,0.063939,0.126846,0.992579,0.791282,0.439974,0.265091,0.890644,0.481420,0.151542,0.894032,0.642050,0.273137,0.357413,0.900581,0.094922,0.396213,0.085985,0.349924,0.511878,0.091265,0.183114,0.815245,0.337648,0.691781,0.922982,0.503490,0.480983,0.914233,0.258828,0.186298,0.409702,0.786255,0.018480,0.154454,0.454920,0.352925,0.203507,0.382038,0.760875,0.329136,0.165860,0.530982,0.373554,0.745533,0.406305,0.942693,0.511990,0.060405,0.374217,0.603107,0.311387,0.995332,0.065775,0.881346,0.256282,0.362494,0.467646,0.909373,0.996444,0.366967,0.306892,0.871353,0.012271,0.763805,0.714191,0.997956,0.619530,0.128317,0.734159,0.175003,0.531893,0.511429,0.576925,0.120250,0.999446,0.239474,0.436123,0.765042,0.974164,0.061677,0.029013,0.481529,0.056317,0.565158,0.961871,0.893864,0.405807,0.423663,0.938854,0.238856,0.244606,0.366593,0.511878,0.481770,0.369168,0.469850,0.008307,0.986782,0.988953,0.640257,0.337202,0.990935,0.769945,0.460134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result7Enc,0.802587,0.664001,0.982343,0.867819,0.785670,0.761565,0.720536,0.633231,0.924989,0.326014,0.233481,0.625095,0.650237,0.962704,0.179266,0.612906,0.110808,0.380504,0.489644,0.911858,0.555076,0.425913,0.016237,0.468831,0.192859,0.738766,0.580082,0.266283,0.501708,0.437994,0.767287,0.804445,0.045155,0.599100,0.027455,0.240646,0.134948,0.092244,0.662335,0.359994,0.914081,0.548041,0.551843,0.685530,0.125591,0.086914,0.905982,0.657829,0.197475,0.979508,0.209625,0.440078,0.882669,0.495826,0.046491,0.735542,0.671814,0.926476,0.184115,0.474563,0.698489,0.966708,0.385697,0.475431,0.631139,0.824607,0.206854,0.477278,0.068974,0.421215,0.473479,0.383961,0.355027,0.704126,0.635289,0.849501,0.371288,0.723972,0.585938,0.168637,0.117407,0.740834,0.924989,0.267778,0.078710,0.112408,0.886514,0.671696,0.052873,0.984198,0.360363,0.708345,0.094293,0.442586,0.916952,0.433118,0.565855,0.308052,0.358057,0.485359,0.354569,0.377924,0.215193,0.227870,0.475214,0.256427,0.555423,0.891155,0.402924,0.471639,0.784718,0.282610,0.818279,0.598040,0.895458,0.959105,0.258026,0.800910,0.955747,0.864223,0.212363,0.090234,0.676903,0.435086,0.663521,0.729189,0.635289,0.996861,0.188957,0.251890,0.702835,0.464636,0.691899,0.184282,0.997458,0.644186,0.742785,0.283704,0.772542,0.636949,0.036106,0.741753,0.607826,0.859319,0.699077,0.728379,0.890131,0.856650,0.947053,0.362587,0.345050,0.628531,0.612552,0.696020,0.223667,0.740834,0.940579,0.263353,0.444604,0.467535,0.014109,0.436494,0.946397,0.677644,0.570097,0.041280,0.693542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result8Dec,0.953749,0.211072,0.669886,0.724265,0.797953,0.132772,0.306156,0.044465,0.091265,0.237896,0.292004,0.426938,0.027863,0.626043,0.709515,0.199073,0.943740,0.627465,0.598394,0.811139,0.975703,0.410203,0.561211,0.479783,0.974710,0.930574,0.142096,0.752036,0.846073,0.432602,0.863380,0.810293,0.844101,0.543328,0.275808,0.533603,0.072067,0.344960,0.534288,0.876708,0.614679,0.934418,0.904545,0.754650,0.608889,0.943740,0.040973,0.178233,0.342273,0.836322,0.742555,0.518178,0.975438,0.265389,0.949683,0.028874,0.867298,0.931800,0.071380,0.697549,0.960577,0.460245,0.721299,0.063939,0.126846,0.992579,0.791282,0.439974,0.265091,0.890644,0.481420,0.151542,0.894032,0.642050,0.273137,0.357413,0.900581,0.094922,0.396213,0.085985,0.349924,0.511878,0.091265,0.183114,0.815245,0.337648,0.691781,0.922982,0.503490,0.480983,0.914233,0.258828,0.186298,0.409702,0.786255,0.018480,0.154454,0.454920,0.352925,0.203507,0.382038,0.760875,0.329136,0.165860,0.530982,0.373554,0.745533,0.406305,0.942693,0.511990,0.060405,0.374217,0.603107,0.311387,0.995332,0.065775,0.881346,0.256282,0.362494,0.467646,0.909373,0.996444,0.366967,0.306892,0.871353,0.012271,0.763805,0.714191,0.997956,0.619530,0.128317,0.734159,0.175003,0.531893,0.511429,0.576925,0.120250,0.999446,0.239474,0.436123,0.765042,0.974164,0.061677,0.029013,0.481529,0.056317,0.565158,0.961871,0.893864,0.405807,0.423663,0.938854,0.238856,0.244606,0.366593,0.511878,0.481770,0.369168,0.469850,0.008307,0.986782,0.988953,0.640257,0.337202,0.990935,0.769945,0.460134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result8Enc,0.802587,0.664001,0.982343,0.867819,0.785670,0.761565,0.720536,0.633231,0.924989,0.326014,0.233481,0.625095,0.650237,0.962704,0.179266,0.612906,0.110808,0.380504,0.489644,0.911858,0.555076,0.425913,0.016237,0.468831,0.192859,0.738766,0.580082,0.266283,0.501708,0.437994,0.767287,0.804445,0.045155,0.599100,0.027455,0.240646,0.134948,0.092244,0.662335,0.359994,0.914081,0.548041,0.551843,0.685530,0.125591,0.086914,0.905982,0.657829,0.197475,0.979508,0.209625,0.440078,0.882669,0.495826,0.046491,0.735542,0.671814,0.926476,0.184115,0.474563,0.698489,0.966708,0.385697,0.475431,0.631139,0.824607,0.206854,0.477278,0.068974,0.421215,0.473479,0.383961,0.355027,0.704126,0.635289,0.849501,0.371288,0.723972,0.585938,0.168637,0.117407,0.740834,0.924989,0.267778,0.078710,0.112408,0.886514,0.671696,0.052873,0.984198,0.360363,0.708345,0.094293,0.442586,0.916952,0.433118,0.565855,0.308052,0.358057,0.485359,0.354569,0.377924,0.215193,0.227870,0.475214,0.256427,0.555423,0.891155,0.402924,0.471639,0.784718,0.282610,0.818279,0.598040,0.895458,0.959105,0.258026,0.800910,0.955747,0.864223,0.212363,0.090234,0.676903,0.435086,0.663521,0.729189,0.635289,0.996861,0.188957,0.251890,0.702835,0.464636,0.691899,0.184282,0.997458,0.644186,0.742785,0.283704,0.772542,0.636949,0.036106,0.741753,0.607826,0.859319,0.699077,0.728379,0.890131,0.856650,0.947053,0.362587,0.345050,0.628531,0.612552,0.696020,0.223667,0.740834,0.940579,0.263353,0.444604,0.467535,0.014109,0.436494,0.946397,0.677644,0.570097,0.041280,0.693542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result9Dec,0.953749,0.211072,0.669886,0.724265,0.797953,0.132772,0.306156,0.044465,0.091265,0.237896,0.292004,0.426938,0.027863,0.626043,0.709515,0.199073,0.943740,0.627465,0.598394,0.811139,0.975703,0.410203,0.561211,0.479783,0.974710,0.930574,0.142096,0.752036,0.846073,0.432602,0.863380,0.810293,0.844101,0.543328,0.275808,0.533603,0.072067,0.344960,0.534288,0.876708,0.614679,0.934418,0.904545,0.754650,0.608889,0.943740,0.040973,0.178233,0.342273,0.836322,0.742555,0.518178,0.975438,0.265389,0.949683,0.028874,0.867298,0.931800,0.071380,0.697549,0.960577,0.460245,0.721299,0.063939,0.126846,0.992579,0.791282,0.439974,0.265091,0.890644,0.481420,0.151542,0.894032,0.642050,0.273137,0.357413,0.900581,0.094922,0.396213,0.085985,0.349924,0.511878,0.091265,0.183114,0.815245,0.337648,0.691781,0.922982,0.503490,0.480983,0.914233,0.258828,0.186298,0.409702,0.786255,0.018480,0.154454,0.454920,0.352925,0.203507,0.382038,0.760875,0.329136,0.165860,0.530982,0.373554,0.745533,0.406305,0.942693,0.511990,0.060405,0.374217,0.603107,0.311387,0.995332,0.065775,0.881346,0.256282,0.362494,0.467646,0.909373,0.996444,0.366967,0.306892,0.871353,0.012271,0.763805,0.714191,0.997956,0.619530,0.128317,0.734159,0.175003,0.531893,0.511429,0.576925,0.120250,0.999446,0.239474,0.436123,0.765042,0.974164,0.061677,0.029013,0.481529,0.056317,0.565158,0.961871,0.893864,0.405807,0.423663,0.938854,0.238856,0.244606,0.366593,0.511878,0.481770,0.369168,0.469850,0.008307,0.986782,0.988953,0.640257,0.337202,0.990935,0.769945,0.460134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result9Enc,0.802587,0.664001,0.982343,0.867819,0.785670,0.761565,0.720536,0.633231,0.924989,0.326014,0.233481,0.625095,0.650237,0.962704,0.179266,0.612906,0.110808,0.380504,0.489644,0.911858,0.555076,0.425913,0.016237,0.468831,0.192859,0.738766,0.580082,0.266283,0.501708,0.437994,0.767287,0.804445,0.045155,0.599100,0.027455,0.240646,0.134948,0.092244,0.662335,0.359994,0.914081,0.548041,0.551843,0.685530,0.125591,0.086914,0.905982,0.657829,0.197475,0.979508,0.209625,0.440078,0.882669,0.495826,0.046491,0.735542,0.671814,0.926476,0.184115,0.474563,0.698489,0.966708,0.385697,0.475431,0.631139,0.824607,0.206854,0.477278,0.068974,0.421215,0.473479,0.383961,0.355027,0.704126,0.635289,0.849501,0.371288,0.723972,0.585938,0.168637,0.117407,0.740834,0.924989,0.267778,0.078710,0.112408,0.886514,0.671696,0.052873,0.984198,0.360363,0.708345,0.094293,0.442586,0.916952,0.433118,0.565855,0.308052,0.358057,0.485359,0.354569,0.377924,0.215193,0.227870,0.475214,0.256427,0.555423,0.891155,0.402924,0.471639,0.784718,0.282610,0.818279,0.598040,0.895458,0.959105,0.258026,0.800910,0.955747,0.864223,0.212363,0.090234,0.676903,0.435086,0.663521,0.729189,0.635289,0.996861,0.188957,0.251890,0.702835,0.464636,0.691899,0.184282,0.997458,0.644186,0.742785,0.283704,0.772542,0.636949,0.036106,0.741753,0.607826,0.859319,0.699077,0.728379,0.890131,0.856650,0.947053,0.362587,0.345050,0.628531,0.612552,0.696020,0.223667,0.740834,0.940579,0.263353,0.444604,0.467535,0.014109,0.436494,0.946397,0.677644,0.570097,0.041280,0.693542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result10Dec,0.953749,0.211072,0.669886,0.724265,0.797953,0.132772,0.306156,0.044465,0.091265,0.237896,0.292004,0.426938,0.027863,0.626043,0.709515,0.199073,0.943740,0.627465,0.598394,0.811139,0.975703,0.410203,0.561211,0.479783,0.974710,0.930574,0.142096,0.752036,0.846073,0.432602,0.863380,0.810293,0.844101,0.543328,0.275808,0.533603,0.072067,0.344960,0.534288,0.876708,0.614679,0.934418,0.904545,0.754650,0.608889,0.943740,0.040973,0.178233,0.342273,0.836322,0.742555,0.518178,0.975438,0.265389,0.949683,0.028874,0.867298,0.931800,0.071380,0.697549,0.960577,0.460245,0.721299,0.063939,0.126846,0.992579,0.791282,0.439974,0.265091,0.890644,0.481420,0.151542,0.894032,0.642050,0.273137,0.357413,0.900581,0.094922,0.396213,0.085985,0.349924,0.511878,0.091265,0.183114,0.815245,0.337648,0.691781,0.922982,0.503490,0.480983,0.914233,0.258828,0.186298,0.409702,0.786255,0.018480,0.154454,0.454920,0.352925,0.203507,0.382038,0.760875,0.329136,0.165860,0.530982,0.373554,0.745533,0.406305,0.942693,0.511990,0.060405,0.374217,0.603107,0.311387,0.995332,0.065775,0.881346,0.256282,0.362494,0.467646,0.909373,0.996444,0.366967,0.306892,0.871353,0.012271,0.763805,0.714191,0.997956,0.619530,0.128317,0.734159,0.175003,0.531893,0.511429,0.576925,0.120250,0.999446,0.239474,0.436123,0.765042,0.974164,0.061677,0.029013,0.481529,0.056317,0.565158,0.961871,0.893864,0.405807,0.423663,0.938854,0.238856,0.244606,0.366593,0.511878,0.481770,0.369168,0.469850,0.008307,0.986782,0.988953,0.640257,0.337202,0.990935,0.769945,0.460134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result10Enc,0.802587,0.664001,0.982343,0.867819,0.785670,0.761565,0.720536,0.633231,0.924989,0.326014,0.233481,0.625095,0.650237,0.962704,0.179266,0.612906,0.110808,0.380504,0.489644,0.911858,0.555076,0.425913,0.016237,0.468831,0.192859,0.738766,0.580082,0.266283,0.501708,0.437994,0.767287,0.804445,0.045155,0.599100,0.027455,0.240646,0.134948,0.092244,0.662335,0.359994,0.914081,0.548041,0.551843,0.685530,0.125591,0.086914,0.905982,0.657829,0.197475,0.979508,0.209625,0.440078,0.882669,0.495826,0.046491,0.735542,0.671814,0.926476,0.184115,0.474563,0.698489,0.966708,0.385697,0.475431,0.631139,0.824607,0.206854,0.477278,0.068974,0.421215,0.473479,0.383961,0.355027,0.704126,0.635289,0.849501,0.371288,0.723972,0.585938,0.168637,0.117407,0.740834,0.924989,0.267778,0.078710,0.112408,0.886514,0.671696,0.052873,0.984198,0.360363,0.708345,0.094293,0.442586,0.916952,0.433118,0.565855,0.308052,0.358057,0.485359,0.354569,0.377924,0.215193,0.227870,0.475214,0.256427,0.555423,0.891155,0.402924,0.471639,0.784718,0.282610,0.818279,0.598040,0.895458,0.959105,0.258026,0.800910,0.955747,0.864223,0.212363,0.090234,0.676903,0.435086,0.663521,0.729189,0.635289,0.996861,0.188957,0.251890,0.702835,0.464636,0.691899,0.184282,0.997458,0.644186,0.742785,0.283704,0.772542,0.636949,0.036106,0.741753,0.607826,0.859319,0.699077,0.728379,0.890131,0.856650,0.947053,0.362587,0.345050,0.628531,0.612552,0.696020,0.223667,0.740834,0.940579,0.263353,0.444604,0.467535,0.014109,0.436494,0.946397,0.677644,0.570097,0.041280,0.693542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
