File,Frequency,BlockFrequency,CumulativeSums,CumulativeSums,Runs,LongestRun,Rank,FFT,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,NonOverlappingTemplate,OverlappingTemplate,Universal,ApproximateEntropy,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursions,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,RandomExcursionsVariant,Serial,Serial,LinearComplexity
Result4Dec,0.811881,0.833222,0.879009,0.957206,0.853969,0.390087,0.823810,0.017466,0.992088,0.614206,0.699195,0.276575,0.708813,0.986774,0.432395,0.004789,0.994929,0.998253,0.873816,0.537143,0.993015,0.158983,0.927670,0.617518,0.777101,0.744847,0.419081,0.972119,0.829123,0.749188,0.552997,0.905345,0.130551,0.956068,0.041312,0.666721,0.333856,0.176827,0.811983,0.305899,0.301952,0.018424,0.919701,0.309633,0.823781,0.046689,0.188218,0.251176,0.157070,0.816084,0.235104,0.918888,0.464636,0.533147,0.704830,0.762679,0.242030,0.696843,0.913776,0.269204,0.367342,0.894368,0.109227,0.010716,0.201700,0.142231,0.819426,0.154309,0.043636,0.536914,0.393470,0.003820,0.155564,0.188616,0.464099,0.705416,0.267703,0.649643,0.265389,0.712672,0.790955,0.380983,0.992088,0.325755,0.735542,0.087704,0.658185,0.912705,0.119785,0.568414,0.164739,0.751240,0.428684,0.135895,0.060805,0.308052,0.101351,0.721183,0.232875,0.015841,0.128071,0.062973,0.566901,0.049116,0.605938,0.874632,0.089873,0.791500,0.759181,0.072240,0.916502,0.617163,0.299341,0.895875,0.225564,0.559936,0.853093,0.858749,0.317283,0.372231,0.056911,0.976489,0.472504,0.188957,0.148212,0.788226,0.360456,0.642999,0.737961,0.659845,0.249397,0.952518,0.046989,0.450049,0.950828,0.566436,0.998881,0.982307,0.766053,0.079649,0.546775,0.741408,0.693548,0.194311,0.478584,0.756351,0.325237,0.381942,0.439140,0.953682,0.879304,0.399166,0.384442,0.474671,0.706822,0.380983,0.895560,0.350446,0.985527,0.031058,0.002413,0.140240,0.208325,0.154807,0.725950,0.265281,0.460864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result4Enc,0.030928,0.911854,0.008744,0.046415,0.682287,0.770099,0.083619,0.168669,0.202903,0.237418,0.529162,0.086652,0.026402,0.151069,0.967432,0.013004,0.027526,0.077834,0.309383,0.692723,0.072264,0.692370,0.308551,0.124027,0.131010,0.615507,0.836121,0.842418,0.649525,0.941387,0.855404,0.283079,0.350650,0.855788,0.413822,0.899270,0.150456,0.235987,0.096031,0.233549,0.735542,0.530527,0.652847,0.713840,0.297312,0.359532,0.790083,0.621897,0.271695,0.879482,0.585703,0.587110,0.353290,0.644423,0.019531,0.241060,0.725249,0.426528,0.062278,0.421215,0.647152,0.335528,0.317792,0.817235,0.153398,0.761214,0.253324,0.623910,0.387825,0.017588,0.471855,0.558199,0.542296,0.451211,0.441017,0.951112,0.066230,0.705533,0.483935,0.967522,0.302279,0.839331,0.202903,0.952963,0.427759,0.164790,0.658541,0.064027,0.068314,0.805939,0.634933,0.347842,0.996356,0.734505,0.683050,0.376876,0.230195,0.810822,0.560864,0.156048,0.222496,0.302689,0.769191,0.030821,0.419791,0.194952,0.613261,0.476191,0.337736,0.344870,0.443214,0.432085,0.774769,0.685176,0.085266,0.883021,0.453965,0.510420,0.345499,0.368279,0.614325,0.750101,0.315084,0.382902,0.834911,0.344870,0.497709,0.909842,0.204294,0.559241,0.989043,0.241268,0.764255,0.221524,0.878590,0.339866,0.127131,0.683523,0.829837,0.729768,0.472396,0.452905,0.703657,0.290569,0.230129,0.229064,0.595922,0.403519,0.807216,0.553690,0.308136,0.668616,0.859984,0.964100,0.892683,0.839331,0.686350,0.389877,0.866852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result5Dec,0.811881,0.833222,0.879009,0.957206,0.853969,0.390087,0.823810,0.017466,0.992088,0.614206,0.699195,0.276575,0.708813,0.986774,0.432395,0.004789,0.994929,0.998253,0.873816,0.537143,0.993015,0.158983,0.927670,0.617518,0.777101,0.744847,0.419081,0.972119,0.829123,0.749188,0.552997,0.905345,0.130551,0.956068,0.041312,0.666721,0.333856,0.176827,0.811983,0.305899,0.301952,0.018424,0.919701,0.309633,0.823781,0.046689,0.188218,0.251176,0.157070,0.816084,0.235104,0.918888,0.464636,0.533147,0.704830,0.762679,0.242030,0.696843,0.913776,0.269204,0.367342,0.894368,0.109227,0.010716,0.201700,0.142231,0.819426,0.154309,0.043636,0.536914,0.393470,0.003820,0.155564,0.188616,0.464099,0.705416,0.267703,0.649643,0.265389,0.712672,0.790955,0.380983,0.992088,0.325755,0.735542,0.087704,0.658185,0.912705,0.119785,0.568414,0.164739,0.751240,0.428684,0.135895,0.060805,0.308052,0.101351,0.721183,0.232875,0.015841,0.128071,0.062973,0.566901,0.049116,0.605938,0.874632,0.089873,0.791500,0.759181,0.072240,0.916502,0.617163,0.299341,0.895875,0.225564,0.559936,0.853093,0.858749,0.317283,0.372231,0.056911,0.976489,0.472504,0.188957,0.148212,0.788226,0.360456,0.642999,0.737961,0.659845,0.249397,0.952518,0.046989,0.450049,0.950828,0.566436,0.998881,0.982307,0.766053,0.079649,0.546775,0.741408,0.693548,0.194311,0.478584,0.756351,0.325237,0.381942,0.439140,0.953682,0.879304,0.399166,0.384442,0.474671,0.706822,0.380983,0.895560,0.350446,0.985527,0.031058,0.002413,0.140240,0.208325,0.154807,0.725950,0.265281,0.460864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result5Enc,0.030928,0.911854,0.008744,0.046415,0.682287,0.770099,0.083619,0.168669,0.202903,0.237418,0.529162,0.086652,0.026402,0.151069,0.967432,0.013004,0.027526,0.077834,0.309383,0.692723,0.072264,0.692370,0.308551,0.124027,0.131010,0.615507,0.836121,0.842418,0.649525,0.941387,0.855404,0.283079,0.350650,0.855788,0.413822,0.899270,0.150456,0.235987,0.096031,0.233549,0.735542,0.530527,0.652847,0.713840,0.297312,0.359532,0.790083,0.621897,0.271695,0.879482,0.585703,0.587110,0.353290,0.644423,0.019531,0.241060,0.725249,0.426528,0.062278,0.421215,0.647152,0.335528,0.317792,0.817235,0.153398,0.761214,0.253324,0.623910,0.387825,0.017588,0.471855,0.558199,0.542296,0.451211,0.441017,0.951112,0.066230,0.705533,0.483935,0.967522,0.302279,0.839331,0.202903,0.952963,0.427759,0.164790,0.658541,0.064027,0.068314,0.805939,0.634933,0.347842,0.996356,0.734505,0.683050,0.376876,0.230195,0.810822,0.560864,0.156048,0.222496,0.302689,0.769191,0.030821,0.419791,0.194952,0.613261,0.476191,0.337736,0.344870,0.443214,0.432085,0.774769,0.685176,0.085266,0.883021,0.453965,0.510420,0.345499,0.368279,0.614325,0.750101,0.315084,0.382902,0.834911,0.344870,0.497709,0.909842,0.204294,0.559241,0.989043,0.241268,0.764255,0.221524,0.878590,0.339866,0.127131,0.683523,0.829837,0.729768,0.472396,0.452905,0.703657,0.290569,0.230129,0.229064,0.595922,0.403519,0.807216,0.553690,0.308136,0.668616,0.859984,0.964100,0.892683,0.839331,0.686350,0.389877,0.866852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result6Dec,0.811881,0.833222,0.879009,0.957206,0.853969,0.390087,0.823810,0.017466,0.992088,0.614206,0.699195,0.276575,0.708813,0.986774,0.432395,0.004789,0.994929,0.998253,0.873816,0.537143,0.993015,0.158983,0.927670,0.617518,0.777101,0.744847,0.419081,0.972119,0.829123,0.749188,0.552997,0.905345,0.130551,0.956068,0.041312,0.666721,0.333856,0.176827,0.811983,0.305899,0.301952,0.018424,0.919701,0.309633,0.823781,0.046689,0.188218,0.251176,0.157070,0.816084,0.235104,0.918888,0.464636,0.533147,0.704830,0.762679,0.242030,0.696843,0.913776,0.269204,0.367342,0.894368,0.109227,0.010716,0.201700,0.142231,0.819426,0.154309,0.043636,0.536914,0.393470,0.003820,0.155564,0.188616,0.464099,0.705416,0.267703,0.649643,0.265389,0.712672,0.790955,0.380983,0.992088,0.325755,0.735542,0.087704,0.658185,0.912705,0.119785,0.568414,0.164739,0.751240,0.428684,0.135895,0.060805,0.308052,0.101351,0.721183,0.232875,0.015841,0.128071,0.062973,0.566901,0.049116,0.605938,0.874632,0.089873,0.791500,0.759181,0.072240,0.916502,0.617163,0.299341,0.895875,0.225564,0.559936,0.853093,0.858749,0.317283,0.372231,0.056911,0.976489,0.472504,0.188957,0.148212,0.788226,0.360456,0.642999,0.737961,0.659845,0.249397,0.952518,0.046989,0.450049,0.950828,0.566436,0.998881,0.982307,0.766053,0.079649,0.546775,0.741408,0.693548,0.194311,0.478584,0.756351,0.325237,0.381942,0.439140,0.953682,0.879304,0.399166,0.384442,0.474671,0.706822,0.380983,0.895560,0.350446,0.985527,0.031058,0.002413,0.140240,0.208325,0.154807,0.725950,0.265281,0.460864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result6Enc,0.030928,0.911854,0.008744,0.046415,0.682287,0.770099,0.083619,0.168669,0.202903,0.237418,0.529162,0.086652,0.026402,0.151069,0.967432,0.013004,0.027526,0.077834,0.309383,0.692723,0.072264,0.692370,0.308551,0.124027,0.131010,0.615507,0.836121,0.842418,0.649525,0.941387,0.855404,0.283079,0.350650,0.855788,0.413822,0.899270,0.150456,0.235987,0.096031,0.233549,0.735542,0.530527,0.652847,0.713840,0.297312,0.359532,0.790083,0.621897,0.271695,0.879482,0.585703,0.587110,0.353290,0.644423,0.019531,0.241060,0.725249,0.426528,0.062278,0.421215,0.647152,0.335528,0.317792,0.817235,0.153398,0.761214,0.253324,0.623910,0.387825,0.017588,0.471855,0.558199,0.542296,0.451211,0.441017,0.951112,0.066230,0.705533,0.483935,0.967522,0.302279,0.839331,0.202903,0.952963,0.427759,0.164790,0.658541,0.064027,0.068314,0.805939,0.634933,0.347842,0.996356,0.734505,0.683050,0.376876,0.230195,0.810822,0.560864,0.156048,0.222496,0.302689,0.769191,0.030821,0.419791,0.194952,0.613261,0.476191,0.337736,0.344870,0.443214,0.432085,0.774769,0.685176,0.085266,0.883021,0.453965,0.510420,0.345499,0.368279,0.614325,0.750101,0.315084,0.382902,0.834911,0.344870,0.497709,0.909842,0.204294,0.559241,0.989043,0.241268,0.764255,0.221524,0.878590,0.339866,0.127131,0.683523,0.829837,0.729768,0.472396,0.452905,0.703657,0.290569,0.230129,0.229064,0.595922,0.403519,0.807216,0.553690,0.308136,0.668616,0.859984,0.964100,0.892683,0.839331,0.686350,0.389877,0.866852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result7Dec,0.811881,0.833222,0.879009,0.957206,0.853969,0.390087,0.823810,0.017466,0.992088,0.614206,0.699195,0.276575,0.708813,0.986774,0.432395,0.004789,0.994929,0.998253,0.873816,0.537143,0.993015,0.158983,0.927670,0.617518,0.777101,0.744847,0.419081,0.972119,0.829123,0.749188,0.552997,0.905345,0.130551,0.956068,0.041312,0.666721,0.333856,0.176827,0.811983,0.305899,0.301952,0.018424,0.919701,0.309633,0.823781,0.046689,0.188218,0.251176,0.157070,0.816084,0.235104,0.918888,0.464636,0.533147,0.704830,0.762679,0.242030,0.696843,0.913776,0.269204,0.367342,0.894368,0.109227,0.010716,0.201700,0.142231,0.819426,0.154309,0.043636,0.536914,0.393470,0.003820,0.155564,0.188616,0.464099,0.705416,0.267703,0.649643,0.265389,0.712672,0.790955,0.380983,0.992088,0.325755,0.735542,0.087704,0.658185,0.912705,0.119785,0.568414,0.164739,0.751240,0.428684,0.135895,0.060805,0.308052,0.101351,0.721183,0.232875,0.015841,0.128071,0.062973,0.566901,0.049116,0.605938,0.874632,0.089873,0.791500,0.759181,0.072240,0.916502,0.617163,0.299341,0.895875,0.225564,0.559936,0.853093,0.858749,0.317283,0.372231,0.056911,0.976489,0.472504,0.188957,0.148212,0.788226,0.360456,0.642999,0.737961,0.659845,0.249397,0.952518,0.046989,0.450049,0.950828,0.566436,0.998881,0.982307,0.766053,0.079649,0.546775,0.741408,0.693548,0.194311,0.478584,0.756351,0.325237,0.381942,0.439140,0.953682,0.879304,0.399166,0.384442,0.474671,0.706822,0.380983,0.895560,0.350446,0.985527,0.031058,0.002413,0.140240,0.208325,0.154807,0.725950,0.265281,0.460864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result7Enc,0.030928,0.911854,0.008744,0.046415,0.682287,0.770099,0.083619,0.168669,0.202903,0.237418,0.529162,0.086652,0.026402,0.151069,0.967432,0.013004,0.027526,0.077834,0.309383,0.692723,0.072264,0.692370,0.308551,0.124027,0.131010,0.615507,0.836121,0.842418,0.649525,0.941387,0.855404,0.283079,0.350650,0.855788,0.413822,0.899270,0.150456,0.235987,0.096031,0.233549,0.735542,0.530527,0.652847,0.713840,0.297312,0.359532,0.790083,0.621897,0.271695,0.879482,0.585703,0.587110,0.353290,0.644423,0.019531,0.241060,0.725249,0.426528,0.062278,0.421215,0.647152,0.335528,0.317792,0.817235,0.153398,0.761214,0.253324,0.623910,0.387825,0.017588,0.471855,0.558199,0.542296,0.451211,0.441017,0.951112,0.066230,0.705533,0.483935,0.967522,0.302279,0.839331,0.202903,0.952963,0.427759,0.164790,0.658541,0.064027,0.068314,0.805939,0.634933,0.347842,0.996356,0.734505,0.683050,0.376876,0.230195,0.810822,0.560864,0.156048,0.222496,0.302689,0.769191,0.030821,0.419791,0.194952,0.613261,0.476191,0.337736,0.344870,0.443214,0.432085,0.774769,0.685176,0.085266,0.883021,0.453965,0.510420,0.345499,0.368279,0.614325,0.750101,0.315084,0.382902,0.834911,0.344870,0.497709,0.909842,0.204294,0.559241,0.989043,0.241268,0.764255,0.221524,0.878590,0.339866,0.127131,0.683523,0.829837,0.729768,0.472396,0.452905,0.703657,0.290569,0.230129,0.229064,0.595922,0.403519,0.807216,0.553690,0.308136,0.668616,0.859984,0.964100,0.892683,0.839331,0.686350,0.389877,0.866852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result8Dec,0.811881,0.833222,0.879009,0.957206,0.853969,0.390087,0.823810,0.017466,0.992088,0.614206,0.699195,0.276575,0.708813,0.986774,0.432395,0.004789,0.994929,0.998253,0.873816,0.537143,0.993015,0.158983,0.927670,0.617518,0.777101,0.744847,0.419081,0.972119,0.829123,0.749188,0.552997,0.905345,0.130551,0.956068,0.041312,0.666721,0.333856,0.176827,0.811983,0.305899,0.301952,0.018424,0.919701,0.309633,0.823781,0.046689,0.188218,0.251176,0.157070,0.816084,0.235104,0.918888,0.464636,0.533147,0.704830,0.762679,0.242030,0.696843,0.913776,0.269204,0.367342,0.894368,0.109227,0.010716,0.201700,0.142231,0.819426,0.154309,0.043636,0.536914,0.393470,0.003820,0.155564,0.188616,0.464099,0.705416,0.267703,0.649643,0.265389,0.712672,0.790955,0.380983,0.992088,0.325755,0.735542,0.087704,0.658185,0.912705,0.119785,0.568414,0.164739,0.751240,0.428684,0.135895,0.060805,0.308052,0.101351,0.721183,0.232875,0.015841,0.128071,0.062973,0.566901,0.049116,0.605938,0.874632,0.089873,0.791500,0.759181,0.072240,0.916502,0.617163,0.299341,0.895875,0.225564,0.559936,0.853093,0.858749,0.317283,0.372231,0.056911,0.976489,0.472504,0.188957,0.148212,0.788226,0.360456,0.642999,0.737961,0.659845,0.249397,0.952518,0.046989,0.450049,0.950828,0.566436,0.998881,0.982307,0.766053,0.079649,0.546775,0.741408,0.693548,0.194311,0.478584,0.756351,0.325237,0.381942,0.439140,0.953682,0.879304,0.399166,0.384442,0.474671,0.706822,0.380983,0.895560,0.350446,0.985527,0.031058,0.002413,0.140240,0.208325,0.154807,0.725950,0.265281,0.460864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result8Enc,0.030928,0.911854,0.008744,0.046415,0.682287,0.770099,0.083619,0.168669,0.202903,0.237418,0.529162,0.086652,0.026402,0.151069,0.967432,0.013004,0.027526,0.077834,0.309383,0.692723,0.072264,0.692370,0.308551,0.124027,0.131010,0.615507,0.836121,0.842418,0.649525,0.941387,0.855404,0.283079,0.350650,0.855788,0.413822,0.899270,0.150456,0.235987,0.096031,0.233549,0.735542,0.530527,0.652847,0.713840,0.297312,0.359532,0.790083,0.621897,0.271695,0.879482,0.585703,0.587110,0.353290,0.644423,0.019531,0.241060,0.725249,0.426528,0.062278,0.421215,0.647152,0.335528,0.317792,0.817235,0.153398,0.761214,0.253324,0.623910,0.387825,0.017588,0.471855,0.558199,0.542296,0.451211,0.441017,0.951112,0.066230,0.705533,0.483935,0.967522,0.302279,0.839331,0.202903,0.952963,0.427759,0.164790,0.658541,0.064027,0.068314,0.805939,0.634933,0.347842,0.996356,0.734505,0.683050,0.376876,0.230195,0.810822,0.560864,0.156048,0.222496,0.302689,0.769191,0.030821,0.419791,0.194952,0.613261,0.476191,0.337736,0.344870,0.443214,0.432085,0.774769,0.685176,0.085266,0.883021,0.453965,0.510420,0.345499,0.368279,0.614325,0.750101,0.315084,0.382902,0.834911,0.344870,0.497709,0.909842,0.204294,0.559241,0.989043,0.241268,0.764255,0.221524,0.878590,0.339866,0.127131,0.683523,0.829837,0.729768,0.472396,0.452905,0.703657,0.290569,0.230129,0.229064,0.595922,0.403519,0.807216,0.553690,0.308136,0.668616,0.859984,0.964100,0.892683,0.839331,0.686350,0.389877,0.866852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result9Dec,0.811881,0.833222,0.879009,0.957206,0.853969,0.390087,0.823810,0.017466,0.992088,0.614206,0.699195,0.276575,0.708813,0.986774,0.432395,0.004789,0.994929,0.998253,0.873816,0.537143,0.993015,0.158983,0.927670,0.617518,0.777101,0.744847,0.419081,0.972119,0.829123,0.749188,0.552997,0.905345,0.130551,0.956068,0.041312,0.666721,0.333856,0.176827,0.811983,0.305899,0.301952,0.018424,0.919701,0.309633,0.823781,0.046689,0.188218,0.251176,0.157070,0.816084,0.235104,0.918888,0.464636,0.533147,0.704830,0.762679,0.242030,0.696843,0.913776,0.269204,0.367342,0.894368,0.109227,0.010716,0.201700,0.142231,0.819426,0.154309,0.043636,0.536914,0.393470,0.003820,0.155564,0.188616,0.464099,0.705416,0.267703,0.649643,0.265389,0.712672,0.790955,0.380983,0.992088,0.325755,0.735542,0.087704,0.658185,0.912705,0.119785,0.568414,0.164739,0.751240,0.428684,0.135895,0.060805,0.308052,0.101351,0.721183,0.232875,0.015841,0.128071,0.062973,0.566901,0.049116,0.605938,0.874632,0.089873,0.791500,0.759181,0.072240,0.916502,0.617163,0.299341,0.895875,0.225564,0.559936,0.853093,0.858749,0.317283,0.372231,0.056911,0.976489,0.472504,0.188957,0.148212,0.788226,0.360456,0.642999,0.737961,0.659845,0.249397,0.952518,0.046989,0.450049,0.950828,0.566436,0.998881,0.982307,0.766053,0.079649,0.546775,0.741408,0.693548,0.194311,0.478584,0.756351,0.325237,0.381942,0.439140,0.953682,0.879304,0.399166,0.384442,0.474671,0.706822,0.380983,0.895560,0.350446,0.985527,0.031058,0.002413,0.140240,0.208325,0.154807,0.725950,0.265281,0.460864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Result9Enc,0.030928,0.911854,0.008744,0.046415,0.682287,0.770099,0.083619,0.168669,0.202903,0.237418,0.529162,0.086652,0.026402,0.151069,0.967432,0.013004,0.027526,0.077834,0.309383,0.692723,0.072264,0.692370,0.308551,0.124027,0.131010,0.615507,0.836121,0.842418,0.649525,0.941387,0.855404,0.283079,0.350650,0.855788,0.413822,0.899270,0.150456,0.235987,0.096031,0.233549,0.735542,0.530527,0.652847,0.713840,0.297312,0.359532,0.790083,0.621897,0.271695,0.879482,0.585703,0.587110,0.353290,0.644423,0.019531,0.241060,0.725249,0.426528,0.062278,0.421215,0.647152,0.335528,0.317792,0.817235,0.153398,0.761214,0.253324,0.623910,0.387825,0.017588,0.471855,0.558199,0.542296,0.451211,0.441017,0.951112,0.066230,0.705533,0.483935,0.967522,0.302279,0.839331,0.202903,0.952963,0.427759,0.164790,0.658541,0.064027,0.068314,0.805939,0.634933,0.347842,0.996356,0.734505,0.683050,0.376876,0.230195,0.810822,0.560864,0.156048,0.222496,0.302689,0.769191,0.030821,0.419791,0.194952,0.613261,0.476191,0.337736,0.344870,0.443214,0.432085,0.774769,0.685176,0.085266,0.883021,0.453965,0.510420,0.345499,0.368279,0.614325,0.750101,0.315084,0.382902,0.834911,0.344870,0.497709,0.909842,0.204294,0.559241,0.989043,0.241268,0.764255,0.221524,0.878590,0.339866,0.127131,0.683523,0.829837,0.729768,0.472396,0.452905,0.703657,0.290569,0.230129,0.229064,0.595922,0.403519,0.807216,0.553690,0.308136,0.668616,0.859984,0.964100,0.892683,0.839331,0.686350,0.389877,0.866852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
